1. PYTHON,Completed?,,Days to complete:,,,,Todays Date,,Deadline until
"Understand Json, CSV Files",FALSE,,107,,,,3/15/2025,,6/30/2025
Create 1 project using Json,FALSE,,,,,,,,
Learn to Extract data from Jsons,FALSE,,,,,,,,
Numpy Intro,FALSE,,,,,,,,
Numpy Intermediate,FALSE,,,,,,,,
Numpy Project,FALSE,,,,,,,,
Pandas Intro,FALSE,,,,,,,,
Pandas Intermediate,FALSE,,,,,,,,
Pandas + Numpy Project,FALSE,,,,,,,,
Data Analysis scikit-learn,FALSE,,,,,,,,
Data Visualization (Matplotib and Seaborn) ,FALSE,,,,,,,,
Create Visualization project,FALSE,,,,,,,,
2. SQL,,,,,,,,,
"Understand Foreign Key, Primary Key in SQL",FALSE,,,,,,,,
Understand Group by,FALSE,,,,,,,,
Flow in inserting values ,FALSE,,,,,,,,
Using Update,FALSE,,,,,,,,
Learn to Alter data ,FALSE,,,,,,,,
Create a project with the above,FALSE,,,,,,,,
Learn to join tables ,FALSE,,,,,,,,
What is UNIQUE? ,FALSE,,,,,,,,
Create a project with 'join',FALSE,,,,,,,,
Combine an excel project with SQL,FALSE,,,,,,,,
3. EXCEL,,,,,,,,,
Learn Vlookup,FALSE,,,,,,,,
Learn Index,FALSE,,,,,,,,
Learn Error,FALSE,,,,,,,,
Learn Concatenate,FALSE,,,,,,,,
Learn SumProduct,FALSE,,,,,,,,
Create project using the above,FALSE,,,,,,,,
Big project in March,FALSE,,,,,,,,
Big project in April,FALSE,,,,,,,,
Big project in May,FALSE,,,,,,,,
Big project in June,FALSE,,,,,,,,
Combine excel and python for a project in June,FALSE,,,,,,,,
3. GITHUB,,,,,,,,,
Learn foundations,FALSE,,,,,,,,
Create profile ,FALSE,,,,,,,,
Upload 5 projects in March,FALSE,,,,,,,,
Upload 5 projects in April,FALSE,,,,,,,,
Upload 5 projects in May,FALSE,,,,,,,,
Upload 5 projects in June,FALSE,,,,,,,,
5 contributions in March,FALSE,,,,,,,,
5 contributions in April,FALSE,,,,,,,,
10 contributions in May,FALSE,,,,,,,,
10 contributions in June,FALSE,,,,,,,,
4. POWER BI,,,,,,,,,
Learn the foundations,FALSE,,,,,,,,
Connect 1 project in May ,FALSE,,,,,,,,
Connect 1 project in June,FALSE,,,,,,,,
,,,,,,,,,
% COMPLETED,0.00%,,,,,,,,
